Signal Legend:

Key        Signal Name

0        = pre_save:inst6|RDAT
1        = pre_save:inst6|RSOP
2        = pre_save:inst6|REOP
3        = pre_save:inst6|data_en
4        = pre_save:inst6|dout
5        = pre_save:inst6|wren
6        = pre_save:inst6|wraddr
7        = pre_save:inst6|pingpong

Data Table:

Signals-> 0         1 2 3 4         5 6    7 

sample

110       14151617h 0 0 1 00000000h 0 000h 0 
111       18191A1Bh 0 0 1 00000000h 0 000h 0 
112       1C1D1E1Fh 0 0 1 00000000h 0 000h 0 
113       20212223h 0 0 1 00000000h 0 000h 0 
114       24252627h 0 0 1 00000000h 0 000h 0 
115       28292A2Bh 0 0 1 00000000h 0 000h 0 
116       2C2D2E2Fh 0 0 1 00000000h 0 000h 0 
117       30313233h 0 0 1 00000000h 0 000h 0 
118       34353637h 0 0 1 00000000h 0 000h 0 
119       38393A3Bh 0 0 1 00000000h 0 000h 0 
120       3C3D3E3Fh 0 0 1 00000000h 0 000h 0 
121       40414243h 0 0 1 00000000h 0 000h 0 
122       44454647h 0 0 1 00000000h 0 000h 0 
123       48494A4Bh 0 0 1 00000000h 0 000h 0 
124       4C4D4E4Fh 0 0 1 00000000h 0 000h 0 
125       50515253h 0 0 1 00000000h 0 000h 0 
126       54555657h 0 0 1 00000000h 0 000h 0 
127       58595A5Bh 0 0 1 00000000h 0 000h 0 
128       5C5D5E5Fh 0 0 1 00000000h 0 000h 0 
129       60616263h 0 0 1 00000000h 0 000h 0 
130       64656667h 0 0 1 00000000h 0 000h 0 
131       68696A6Bh 0 0 1 00000000h 0 000h 0 
132       6C6D6E6Fh 0 0 1 00000000h 0 000h 0 
133       70717273h 0 0 1 00000000h 0 000h 0 
134       74757677h 0 0 1 00000000h 0 000h 0 
135       78797A7Bh 0 0 1 00000000h 0 000h 0 
136       7C7D7E7Fh 0 0 1 00000000h 0 000h 0 
137       80818283h 0 0 1 00000000h 0 000h 0 
138       84858687h 0 0 1 00000000h 0 000h 0 
139       88898A8Bh 0 0 1 00000000h 0 000h 0 
140       8C8D8E8Fh 0 0 1 00000000h 0 000h 0 
141       90919293h 0 0 1 00000000h 0 000h 0 
142       94959697h 0 0 1 00000000h 0 000h 0 
143       98999A9Bh 0 0 1 00000000h 0 000h 0 
144       9C9D9E9Fh 0 0 1 00000000h 0 000h 0 
145       A0A1A2A3h 0 0 1 00000000h 0 000h 0 
146       A4A5A6A7h 0 0 1 00000000h 0 000h 0 
147       A8A9AAABh 0 0 1 00000000h 0 000h 0 
148       ACADAEAFh 0 0 1 00000000h 0 000h 0 
149       B0B1B2B3h 0 0 1 00000000h 0 000h 0 
150       B4B5B6B7h 0 0 1 00000000h 0 000h 0 
151       B8B9BABBh 0 0 1 00000000h 0 000h 0 
152       BCBDBEBFh 0 0 1 00000000h 0 000h 0 
153       C0C1C2C3h 0 0 1 00000000h 0 000h 0 
154       C4C5C6C7h 0 0 1 00000000h 0 000h 0 
155       C8C9CACBh 0 0 1 00000000h 0 000h 0 
156       CCCDCECFh 0 0 1 00000000h 0 000h 0 
157       D0D1D2D3h 0 0 1 00000000h 0 000h 0 
158       D4D5D6D7h 0 0 1 00000000h 0 000h 0 
159       D8D9DADBh 0 0 1 00000000h 0 000h 0 
160       DCDDDEDFh 0 0 1 00000000h 0 000h 0 
161       E0E1E2E3h 0 0 1 00000000h 0 000h 0 
162       E4E5E6E7h 0 0 1 00000000h 0 000h 0 
163       E8E9EAEBh 0 0 1 00000000h 0 000h 0 
164       ECEDEEEFh 0 0 1 00000000h 0 000h 0 
165       F0F1F2F3h 0 0 1 00000000h 0 000h 0 
166       F4F5F6F7h 0 0 1 00000000h 0 000h 0 
167       F8F9FAFBh 0 0 1 00000000h 0 000h 0 
168       FCFDFEFFh 0 0 1 00000000h 0 000h 0 
169       00010203h 0 0 1 00000000h 0 000h 0 
170       04050607h 0 0 1 00000000h 0 000h 0 
171       08090A0Bh 0 0 1 00000000h 0 000h 0 
172       0C0D0E0Fh 0 0 1 00000000h 0 000h 0 
173       10111213h 0 0 1 00000000h 0 000h 0 
174       14151617h 0 0 1 00000000h 0 000h 0 
175       18191A1Bh 0 0 1 00000000h 0 000h 0 
176       1C1D1E1Fh 0 0 1 00000000h 0 000h 0 
177       20212223h 0 0 1 00000000h 0 000h 0 
178       24252627h 0 0 1 00000000h 0 000h 0 
179       28292A2Bh 0 0 1 00000000h 0 000h 0 
180       2C2D2E2Fh 0 0 1 00000000h 0 000h 0 
181       30313233h 0 0 1 00000000h 0 000h 0 
182       34353637h 0 0 1 00000000h 0 000h 0 
183       38393A3Bh 0 0 1 00000000h 0 000h 0 
184       3C3D3E3Fh 0 0 1 00000000h 0 000h 0 
185       40414243h 0 0 1 00000000h 0 000h 0 
186       44454647h 0 0 1 00000000h 0 000h 0 
187       48494A4Bh 0 0 1 00000000h 0 000h 0 
188       4C4D4E4Fh 0 0 1 00000000h 0 000h 0 
189       50515253h 0 0 1 00000000h 0 000h 0 
190       54555657h 0 0 1 00000000h 0 000h 0 
191       58595A5Bh 0 0 1 00000000h 0 000h 0 
192       5C5D5E5Fh 0 0 1 00000000h 0 000h 0 
193       60616263h 0 0 1 00000000h 0 000h 0 
194       64656667h 0 0 1 00000000h 0 000h 0 
195       68696A6Bh 0 0 1 00000000h 0 000h 0 
196       6C6D6E6Fh 0 0 1 00000000h 0 000h 0 
197       70717273h 0 0 1 00000000h 0 000h 0 
198       74757677h 0 0 1 00000000h 0 000h 0 
199       78797A7Bh 0 0 1 00000000h 0 000h 0 
200       7C7D7E7Fh 0 0 1 00000000h 0 000h 0 
201       80818283h 0 0 1 00000000h 0 000h 0 
202       84858687h 0 0 1 00000000h 0 000h 0 
203       88898A8Bh 0 0 1 00000000h 0 000h 0 
204       8C8D8E8Fh 0 0 1 00000000h 0 000h 0 
205       90919293h 0 0 1 00000000h 0 000h 0 
206       94959697h 0 0 1 00000000h 0 000h 0 
207       98999A9Bh 0 0 1 00000000h 0 000h 0 
208       9C9D9E9Fh 0 0 1 00000000h 0 000h 0 
209       A0A1A2A3h 0 0 1 00000000h 0 000h 0 
210       A4A5A6A7h 0 0 1 00000000h 0 000h 0 
211       A8A9AAABh 0 0 1 00000000h 0 000h 0 
212       ACADAEAFh 0 0 1 00000000h 0 000h 0 
213       B0B1B2B3h 0 0 1 00000000h 0 000h 0 
214       B4B5B6B7h 0 0 1 00000000h 0 000h 0 
215       B8B9BABBh 0 0 1 00000000h 0 000h 0 
216       BCBDBEBFh 0 0 1 00000000h 0 000h 0 
217       C0C1C2C3h 0 0 1 00000000h 0 000h 0 
218       C4C5C6C7h 0 0 1 00000000h 0 000h 0 
219       C8C9CACBh 0 0 1 00000000h 0 000h 0 
220       CCCDCECFh 0 0 1 00000000h 0 000h 0 
221       D0D1D2D3h 0 0 1 00000000h 0 000h 0 
222       D4D5D6D7h 0 0 1 00000000h 0 000h 0 
223       D8D9DADBh 0 0 1 00000000h 0 000h 0 
224       DCDDDEDFh 0 0 1 00000000h 0 000h 0 
225       E0E1E2E3h 0 0 1 00000000h 0 000h 0 
226       E4E5E6E7h 0 0 1 00000000h 0 000h 0 
227       E8E9EAEBh 0 0 1 00000000h 0 000h 0 
228       ECEDEEEFh 0 0 1 00000000h 0 000h 0 
229       F0F1F2F3h 0 0 1 00000000h 0 000h 0 
230       F4F5F6F7h 0 0 1 00000000h 0 000h 0 
231       F8F9FAFBh 0 0 1 00000000h 0 000h 0 
232       FCFDFEFFh 0 0 1 00000000h 0 000h 0 
233       00010203h 0 0 1 00000000h 0 000h 0 
234       04050607h 0 0 1 00000000h 0 000h 0 
235       08090A0Bh 0 0 1 00000000h 0 000h 0 
236       0C0D0E0Fh 0 0 1 00000000h 0 000h 0 
237       10111213h 0 0 1 00000000h 0 000h 0 
238       14151617h 0 0 1 00000000h 0 000h 0 
239       18191A1Bh 0 0 1 00000000h 0 000h 0 
240       1C1D1E1Fh 0 0 1 00000000h 0 000h 0 
241       20212223h 0 0 1 00000000h 0 000h 0 
242       24252627h 0 0 1 00000000h 0 000h 0 
243       28292A2Bh 0 0 1 00000000h 0 000h 0 
244       2C2D2E2Fh 0 0 1 00000000h 0 000h 0 
245       30313233h 0 0 1 00000000h 0 000h 0 
246       34353637h 0 0 1 00000000h 0 000h 0 
247       38393A3Bh 0 0 1 00000000h 0 000h 0 
248       3C3D3E3Fh 0 0 1 00000000h 0 000h 0 
249       40414243h 0 0 1 00000000h 0 000h 0 
250       44454647h 0 0 1 00000000h 0 000h 0 
251       48494A4Bh 0 0 1 00000000h 0 000h 0 
252       4C4D4E4Fh 0 0 1 00000000h 0 000h 0 
253       50515253h 0 0 1 00000000h 0 000h 0 
254       54555657h 0 0 1 00000000h 0 000h 0 
255       58595A5Bh 0 0 1 00000000h 0 000h 0 
256       5C5D5E5Fh 0 0 1 00000000h 0 000h 0 
257       60616263h 0 0 1 00000000h 0 000h 0 
258       64656667h 0 0 1 00000000h 0 000h 0 
259       68696A6Bh 0 0 1 00000000h 0 000h 0 
260       6C6D6E6Fh 0 0 1 00000000h 0 000h 0 
261       70717273h 0 0 1 00000000h 0 000h 0 
262       74757677h 0 0 1 00000000h 0 000h 0 
263       78797A7Bh 0 0 1 00000000h 0 000h 0 
264       7C7D7E7Fh 0 0 1 00000000h 0 000h 0 
265       80818283h 0 0 1 00000000h 0 000h 0 
266       84858687h 0 0 1 00000000h 0 000h 0 
267       88898A8Bh 0 0 1 00000000h 0 000h 0 
268       8C8D0000h 0 1 1 00000000h 0 000h 0 
269       00000000h 0 0 0 00000000h 0 000h 0 
270       00000000h 0 0 0 00000000h 0 000h 0 
271       00000000h 0 0 0 00000000h 0 000h 0 
272       00000000h 0 0 0 00000000h 0 000h 0 
273       00000000h 0 0 0 00000000h 0 000h 0 
274       00000000h 0 0 0 00000000h 0 000h 0 
275       00000000h 0 0 0 00000000h 0 000h 0 
276       00000000h 0 0 0 00000000h 0 000h 0 
277       00000000h 0 0 0 00000000h 0 000h 0 
278       00000000h 0 0 0 00000000h 0 000h 0 
279       00000000h 0 0 0 00000000h 0 000h 0 
280       00000000h 0 0 0 00000000h 0 000h 0 
281       00000000h 0 0 0 00000000h 0 000h 0 
282       00000000h 0 0 0 00000000h 0 000h 0 
283       00000000h 0 0 0 00000000h 0 000h 0 
284       00000000h 0 0 0 00000000h 0 000h 0 
285       00000000h 0 0 0 00000000h 0 000h 0 
286       00000000h 0 0 0 00000000h 0 000h 0 
287       00000000h 0 0 0 00000000h 0 000h 0 
288       00000000h 0 0 0 00000000h 0 000h 0 
289       00000000h 0 0 0 00000000h 0 000h 0 
290       00000000h 0 0 0 00000000h 0 000h 0 
291       00000000h 0 0 0 00000000h 0 000h 0 
292       00000000h 0 0 0 00000000h 0 000h 0 
293       00000000h 0 0 0 00000000h 0 000h 0 
294       00000000h 0 0 0 00000000h 0 000h 0 
295       00000000h 0 0 0 00000000h 0 000h 0 
296       00000000h 0 0 0 00000000h 0 000h 0 
297       00000000h 0 0 0 00000000h 0 000h 0 
298       00000000h 0 0 0 00000000h 0 000h 0 
299       00000000h 0 0 0 00000000h 0 000h 0 
300       00000000h 0 0 0 00000000h 0 000h 0 
301       00000000h 0 0 0 00000000h 0 000h 0 
302       00000000h 0 0 0 00000000h 0 000h 0 
303       00000000h 0 0 0 00000000h 0 000h 0 
304       00000000h 0 0 0 00000000h 0 000h 0 
305       00000000h 0 0 0 00000000h 0 000h 0 
306       00000000h 0 0 0 00000000h 0 000h 0 
307       00000000h 0 0 0 00000000h 0 000h 0 
308       00000000h 0 0 0 00000000h 0 000h 0 
309       00000000h 0 0 0 00000000h 0 000h 0 
310       00000000h 0 0 0 00000000h 0 000h 0 
311       00000000h 0 0 0 00000000h 0 000h 0 
312       00000000h 0 0 0 00000000h 0 000h 0 
313       00000000h 0 0 0 00000000h 0 000h 0 
314       00000000h 0 0 0 00000000h 0 000h 0 
315       00000000h 0 0 0 00000000h 0 000h 0 
316       00000000h 0 0 0 00000000h 0 000h 0 
317       00000000h 0 0 0 00000000h 0 000h 0 
318       00000000h 0 0 0 00000000h 0 000h 0 
319       00000000h 0 0 0 00000000h 0 000h 0 
320       00000000h 0 0 0 00000000h 0 000h 0 
321       00000000h 0 0 0 00000000h 0 000h 0 
322       00000000h 0 0 0 00000000h 0 000h 0 
323       00000000h 0 0 0 00000000h 0 000h 0 
324       00000000h 0 0 0 00000000h 0 000h 0 
325       00000000h 0 0 0 00000000h 0 000h 0 
326       00000000h 0 0 0 00000000h 0 000h 0 
327       00000000h 0 0 0 00000000h 0 000h 0 
328       00000000h 0 0 0 00000000h 0 000h 0 
329       00000000h 0 0 0 00000000h 0 000h 0 
330       00000000h 0 0 0 00000000h 0 000h 0 
331       00000000h 0 0 0 00000000h 0 000h 0 
332       00000000h 0 0 0 00000000h 0 000h 0 
333       00000000h 0 0 0 00000000h 0 000h 0 
334       00000000h 0 0 0 00000000h 0 000h 0 
335       00000000h 0 0 0 00000000h 0 000h 0 
336       00000000h 0 0 0 00000000h 0 000h 0 
337       00000000h 0 0 0 00000000h 0 000h 0 
338       00000000h 0 0 0 00000000h 0 000h 0 
339       00000000h 0 0 0 00000000h 0 000h 0 
340       00000000h 0 0 0 00000000h 0 000h 0 
341       00000000h 0 0 0 00000000h 0 000h 0 
342       00000000h 0 0 0 00000000h 0 000h 0 
343       00000000h 0 0 0 00000000h 0 000h 0 
344       00000000h 0 0 0 00000000h 0 000h 0 
345       00000000h 0 0 0 00000000h 0 000h 0 
346       00000000h 0 0 0 00000000h 0 000h 0 
347       00000000h 0 0 0 00000000h 0 000h 0 
348       00000000h 0 0 0 00000000h 0 000h 0 
349       00000000h 0 0 0 00000000h 0 000h 0 
350       00000000h 0 0 0 00000000h 0 000h 0 
351       00000000h 0 0 0 00000000h 0 000h 0 
352       00000000h 0 0 0 00000000h 0 000h 0 
353       00000000h 0 0 0 00000000h 0 000h 0 
354       00000000h 0 0 0 00000000h 0 000h 0 
355       00000000h 0 0 0 00000000h 0 000h 0 
356       00000000h 0 0 0 00000000h 0 000h 0 
357       00000000h 0 0 0 00000000h 0 000h 0 
358       00000000h 0 0 0 00000000h 0 000h 0 
359       00000000h 0 0 0 00000000h 0 000h 0 
360       00000000h 0 0 0 00000000h 0 000h 0 
361       00000000h 0 0 0 00000000h 0 000h 0 
362       00000000h 0 0 0 00000000h 0 000h 0 
363       00000000h 0 0 0 00000000h 0 000h 0 
364       00000000h 0 0 0 00000000h 0 000h 0 
365       00000000h 0 0 0 00000000h 0 000h 0 
366       00000000h 0 0 0 00000000h 0 000h 0 
367       00000000h 0 0 0 00000000h 0 000h 0 
368       00000000h 0 0 0 00000000h 0 000h 0 
369       00000000h 0 0 0 00000000h 0 000h 0 
370       00000000h 0 0 0 00000000h 0 000h 0 
371       00000000h 0 0 0 00000000h 0 000h 0 
372       00000000h 0 0 0 00000000h 0 000h 0 
373       00000000h 0 0 0 00000000h 0 000h 0 
374       00000000h 0 0 0 00000000h 0 000h 0 
375       00000000h 0 0 0 00000000h 0 000h 0 
376       00000000h 0 0 0 00000000h 0 000h 0 
377       00000000h 0 0 0 00000000h 0 000h 0 
378       00000000h 0 0 0 00000000h 0 000h 0 
379       00000000h 0 0 0 00000000h 0 000h 0 
380       00000000h 0 0 0 00000000h 0 000h 0 
381       00000000h 0 0 0 00000000h 0 000h 0 
382       00000000h 0 0 0 00000000h 0 000h 0 
383       00000000h 0 0 0 00000000h 0 000h 0 
384       00000000h 0 0 0 00000000h 0 000h 0 
385       00000000h 0 0 0 00000000h 0 000h 0 
386       00000000h 0 0 0 00000000h 0 000h 0 
387       00000000h 0 0 0 00000000h 0 000h 0 
388       00000000h 0 0 0 00000000h 0 000h 0 
389       00000000h 0 0 0 00000000h 0 000h 0 
390       00000000h 0 0 0 00000000h 0 000h 0 
391       00000000h 0 0 0 00000000h 0 000h 0 
392       00000000h 0 0 0 00000000h 0 000h 0 
393       00000000h 0 0 0 00000000h 0 000h 0 
394       00000000h 0 0 0 00000000h 0 000h 0 
395       00000000h 0 0 0 00000000h 0 000h 0 
396       00000000h 0 0 0 00000000h 0 000h 0 
397       00000000h 0 0 0 00000000h 0 000h 0 
398       00000000h 0 0 0 00000000h 0 000h 0 
399       00000000h 0 0 0 00000000h 0 000h 0 
400       00000000h 0 0 0 00000000h 0 000h 0 
401       00000000h 0 0 0 00000000h 0 000h 0 
402       00000000h 0 0 0 00000000h 0 000h 0 
403       00000000h 0 0 0 00000000h 0 000h 0 
404       00000000h 0 0 0 00000000h 0 000h 0 
405       00000000h 0 0 0 00000000h 0 000h 0 
406       00000000h 0 0 0 00000000h 0 000h 0 
407       00000000h 0 0 0 00000000h 0 000h 0 
408       00000000h 0 0 0 00000000h 0 000h 0 
409       00000000h 0 0 0 00000000h 0 000h 0 
410       00000000h 0 0 0 00000000h 0 000h 0 
411       00000000h 0 0 0 00000000h 0 000h 0 
412       00000000h 0 0 0 00000000h 0 000h 0 
413       00000000h 0 0 0 00000000h 0 000h 0 
414       00000000h 0 0 0 00000000h 0 000h 0 
415       00000000h 0 0 0 00000000h 0 000h 0 
416       00000000h 0 0 0 00000000h 0 000h 0 
417       00000000h 0 0 0 00000000h 0 000h 0 
